,Actor,Quotes
0,Aamir Khan,"The journey that I have undertaken, meeting people from all walks of life and learning from them, has been my biggest achievement.I have had unsuccessful films, but I learned a lot from those films. I give my failures as much importance as my success.When I was new, I didn't know where my career will go. Initially, my films were not even successful, but then I learned a lot from my mistakes.I do what I feel is right. I am not scared to walk on the new path and take risk.I am happy that I have entertained people and made them happy.When I am shooting a film, then everything goes soft focus. My family also complains that I don't give them time.There must be a story within him/her that wants to come out. That's the reason why 'Dil Chahta Hai,' 'Lagaan,' and 'Rang De Basanti' worked so well: Ashutosh, Farhan, and Rakesh had a story inside them. It's very important that the director should have the fire in the belly to tell the story.I don't believe in strategies. I love what I am doing; that's the main thing.If 10 people see my movie and all ten really love it, then that means a lot to me, rather than ten million people go and see it and most of them hate it.I am not a perfectionist. Perfection doesn't exist in real life. It's a wrong title for me."
1,Aasif Mandvi,"If you don't acknowledge differences, it's as bad as stereotyping or reducing someone.The great joy of doing 'The Daily Show' for me is that I get to sit on the fence between cultures. I am commenting on the absurdity of both sides as an outsider and insider. Sometimes I'm playing the brown guy, and sometimes I'm not, but the best stuff I do always goes back to being a brown kid in a white world.In America, people think being South Asian is still kind of exotic. When you go outside New York and Chicago and L.A., there are people who have never tried Indian food... they've never even tasted it!In Britain, you never get away from the fact that you're a foreigner. In the U.S., the view is it doesn't matter where you come from.Traditional television as we have known it will make love to the Internet and have a child. That child will be the future. It's already happening, and it's hot!I never consciously got into comedy. It was sort of one of those things where I was a theater student, I was acting, I was doing comedy, I was doing dramatic stuff, so it's been something that I've always done and enjoyed doing and had an instinct to be relatively good at.The artist never really has any control over the impact of his work. If he starts thinking about the impact of his work, then he becomes a lesser artist.People lament that there's no roles being written for South Asian or Muslim characters. But their parents don't want their children to go into the entertainment field. You don't get it both ways.An artist's job is simply to take the mirror in front of your face and hold it there. It's not to give you any answers. It is simply to take that mirror and point it at you.I was born in India - but never really lived there."
2,Abhimanyu Singh,"Karthi is such a wonderful human being. He is always focused towards improvisations and keeps working on it.I think once you get noticed as an actor you get roles irrespective of the characters you portray.I have always tried to portray each role as differently as possible.I had zero connection to Bollywood or movies when I started out. I worked in theatre for eight years where luckily Makarand Deshpande mentored me, helped me to improve my body language and voice modulation.I have learnt the hard way that neither success nor failure last forever.It is a big deal to play the antagonist in a Rohit Shetty film.Gulaal' gave me a chance to channelise my restlessness into a character that had layers of complexity.I realised that if I wanted to act, I needed to join theatre where I could improve my acting skills first and also show my talent.I'm not the type who will go and ask people for roles.There was a lot of aggression in me. It comes from my Bihari roots, I guess."
3,Abhishek Bachchan,"You can work really hard on your physicality, on your craft, on the films you do. You can choose the best of directors, the best of productions, get the best technicians, you can put your entire body and soul into the making of a film, but at the end of the day, it all depends on the mood of that one audience member that goes into that theater.I've always basically done everything that's been offered to me. I'm one of the few actors who enjoy working a lot.I think it's important for an actor to see the work they've done because every time you revisit a work you come up with a new way of improving it. It's a good way to brush up your craft and your skills, so I think it's a good thing to do, keep seeing your films.In the Indian film industry, especially those of us who are in mainstream cinema, we invariably play a typical hero's role. More often than not, we cater to the public perception. However, there is a latent desire in most actors to do a role where you can go all out and experiment.In England or America, actors do not have to cater to an image. In India, it is almost demanded of us. Very seldom do you get a film where you can walk away from your image.There is one common thing in superstars - enthusiasm and humility towards their work. Off sets, they are big stars for others, and they carry themselves the way they want to. When they are working, they are not stars.The only fear I have is that I will wake up one day and nobody will allow me to do films. This is a fear every actor has.Indian weddings are elaborate. As a culture, we like to celebrate everything... Our weddings go on for sometimes a week, 10 days.Basketball is my favorite sport, and I'm also a very passionate football fan.I still feel that in India we look upon sports as a recreational activity - which it is - but people have to understand that there is a career in sports. It's not just necessary to be a doctor or a lawyer or an engineer, as most of us Indians appear to think that our children should grow up to be."
4,Aditya Roy Kapur,"I am not good with PR or in projecting a certain image of myself, and I don't give clarifications about rumours; that's it.I'm passionate about my work.When you are working with someone who is so aware of what they do, you become better, too.At the end of the day, it's a business; people want to make money. That's the intention with every film. It happens for some movies. For others, it doesn't.As actors, when we keep working every day, after a point of time, we just know all our emotional cards and how to play them.If I want to be a leading man in a film, box office numbers count because producers have invested money. I see no wrong in that process.In 'Kalank,' I am playing a character, which is quite strong, quiet a little complex yet interesting, that drew me towards the character when I heard the narration from director Abhishek Varman.When you are repeating your co-star, it's good to bring something new to the equation on screen.I think live-in relationship works for a few people, and it doesn't for others. I have never done it, so I can't speak about the pros and cons. I don't know if that will work for me or not, but I am definitely not close to the idea. For an arrangement like that to succeed, one needs to have the right feeling for the right person.Live-in relationships are common these days; that's why so many movies are being made on the subject."
5,Ajay Devgan,"Abroad, they have covered pretty much all subjects, explored every possibility, every twist. So similarities between ideas you have and those filmed abroad are quite possible.As far as I know, if you take your time, write a good script and make a good film, then give the audience time, they will accept it.By getting into distribution and production, I am actually widening my base.Earlier, I used to charge territories instead of my fees as an actor, but I realised it was better to keep the two apart. Now, I take my fees in cash, for acting, and keep the distribution thing separate.I don't see the risk, I enjoy performing stunts, and I don't get scared.I never talk about my personal life. After these rumours, I definitely do not want to comment on anything.I only want to do better work. That's the focus of my life.I'm going to keep making films I believe in. Whether I am successful or not is besides the point.If somebody had started on a remake of French Kiss before I announced my own film, I would have dropped my subject. If someone else starts after me, what am I to do?In the industry, you do need some ethics - if one film does well, then thousands get work and money comes back to the industry. I guess the bottomline is, if there are two versions, then the better one will click."
6,Ajay Mehta,"I've always had strong ties with Delhi, and I do stay in touch with my friends and periodically visit the capital. I started my schooling at St. Columbus High School before I went to Mayo College. Delhi, for me, is a historical city with all its beautiful monuments.Mayo College, where I got my grounding, is a private boarding school. It is a traditional school with brilliant teachers including some from overseas.I used to do a lot of plays in English, Hindi, and Urdu. I wanted to be an actor since I was three and a half.I feel respect is in your hands as an actor when portraying a character, particularly when it's from the Indian subcontinent. I do make a conscious effort to do so and often talk to the directors especially about the heavy accent when it's not needed.My father was a very special human being. He was brilliant in academics, sports and the arts. He wrote, performed and directed plays in English and Hindi/Urdu at his regiment.My father lived life to the fullest, even though it was cut short at a young age in 1962. He was known for his intelligence, wit, wisdom, a wonderful sense of humour, a great personality, and a genuine goodwill towards all.My mother enjoyed acting as well with my father, who used to direct her in plays at his regiment. My sister is an excellent singer. However, it was only me who decided to pursue acting as a career.Losing my father at a tender age was hard, and I felt it more so while growing up when I needed a father to talk to. Especially while pursuing an acting career where I would have loved his guidance and advice, since it was his passion as well."
7,Ajith Kumar,"If you look at it closely, 'Mankatha' is a politically incorrect film. It explores the darker side of the human mind, and I think, while watching it, people are, in a sense, redeeming themselves of their own guilt.As a child, I always wanted to be a race car pilot.I don't want the child in me to die. Fortunately, I'm lucky enough that my profession allows me to pursue my boyhood fantasies even as an adult.Filmmaking, I often like to say, is like Russian roulette. You never know what you'll get. The only thing you can do is find solace in the fact that, irrespective of the film's response, you work hard to make the money you do.Aren't we all dreamers? It's only because man dreamt of flying that we are travelling in planes. Behind all inventions, we see the dreams of people.I am glad that mankind on the whole are dreamers.I was the first person from my family to enter films. So, everything connected with films was new to me, including fans and fan clubs.I have a lot of respect for people, and I feel they are far more sensible and responsible than to ape or imitate somebody.I dropped out of school after my tenth standard. But both my elder brother and younger brother are highly educated.I would not say I was not interested in studies - it just wasn't there in me to pursue academics. I would open a page in the textbook and start thinking about everything under the sun except what was there in the book. I was more into extra-curricular activities and sports like NCC, rifle shooting, aero-modelling, bike racing, etc."
8,Akkineni Nagarjuna,"I exercise six days a week for one hour in the morning.Besides regular exercising, one should also take care of his or her daily habits such as adequate sleep and drinking lots of water.I don't believe in the concept of working out rigorously to pump muscles. It may be effective, but when you stop working out, it comes back to square one.I want to continue acting as long as I can because being on the sets is a big stress buster for me. I can't possibly think of stopping my visits to the sets because I'm old.When Raghavendra Rao garu approached me to do a film on Lord Venkateswara, my initial response was 'What more can we do than Annamayya?' But he asked me to go through the script, and I really liked it.My passion is films and making them.I'm a fan of a very few actors.Everybody deserves an opportunity to fulfill their dreams.I don't like anything about 2013. Too many things have happened, including 'Bhai.' I lost my way. Sometimes it happens, and I definitely feel bad about it.Everything about 'UY' is new and fresh, and we are extremely happy at the response from the audiences, as most people are walking out of cinema halls with a smile on their faces."
9,Akshay Kumar,"I have finally become a husband and I am genuinely enjoying every moment of it.It takes two hands to clap! I cannot be solely blamed for what happened in my relationships! If things soured, it happened because of both parties. Not just me!I'm glad that my films have been consistently faring well rather than one stray Friday!I'm glad that I'm being acclaimed as an actor. Today, when my hard work has paid off I can chill out about it.Playing a prisoner of war trapped in Pakistan for three years was a novelty for me. We made sure that we didn't talk about India versus Pakistan but about the emotions of people on both sides and how terrorism affects us all.I'd never do a film that would hurt anyone's sentiments, be it Indian or not.Controversies are a package deal in this industry. You just have to understand that and accept it.I'll do at least one action film every year because of my fans. This is my promise to them.It feels wonderful to be go back to the 1940s and recreate the whole era through my clothes, voice and body language. I am tired of playing the larger-than-life hero.I see the friends I made over the years who have become family today, people I became acquainted with who have achieved so much in their lives. They taught me something with each meeting."
